                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1604,                0.71856,                 1.0401,                0.80297,                0.78084,                0.84457,                0.51698,                 1.2354,                0.71235,                 1.0646,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.1639,                0.72099,                 1.0418,                0.80008,                 0.7815,                0.84401,                0.51436,                  1.234,                0.71245,                 1.0613,               0.008317,               0.008317,               0.008317
                     37,                 1.1577,                0.71561,                 1.0377,                0.80128,                0.78335,                0.84271,                0.51536,                 1.2379,                0.71415,                 1.0634,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.1511,                0.71213,                 1.0378,                0.80245,                 0.7771,                0.84261,                 0.5194,                 1.2293,                0.70261,                 1.0677,               0.008218,               0.008218,               0.008218
                     39,                 1.1536,                0.70819,                 1.0382,                0.79667,                0.78231,                0.84625,                0.51926,                 1.2305,                0.70475,                 1.0657,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.1504,                 0.7035,                 1.0341,                 0.8069,                0.76979,                0.84402,                0.51911,                 1.2251,                0.70315,                 1.0581,               0.008119,               0.008119,               0.008119
                     41,                 1.1446,                0.70264,                 1.0314,                0.80081,                 0.7773,                0.84493,                0.52303,                   1.22,                0.70005,                 1.0603,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.1302,                0.69421,                 1.0294,                0.80877,                0.77937,                0.84738,                0.52402,                 1.2173,                0.69726,                 1.0589,                0.00802,                0.00802,                0.00802
                     43,                 1.1254,                 0.6902,                 1.0258,                0.80623,                0.77642,                 0.8447,                0.52091,                  1.224,                0.69934,                 1.0595,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.1255,                0.69275,                 1.0317,                0.80782,                 0.7745,                0.84448,                0.52294,                 1.2207,                0.69826,                 1.0638,               0.007921,               0.007921,               0.007921
                     45,                  1.126,                0.68814,                 1.0275,                0.80524,                0.78425,                0.84497,                0.52136,                 1.2164,                0.69568,                 1.0585,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.1131,                  0.679,                 1.0221,                0.81255,                0.76537,                0.84152,                0.52044,                 1.2123,                0.70134,                  1.059,               0.007822,               0.007822,               0.007822
                     47,                  1.115,                0.68392,                  1.022,                0.80378,                 0.7804,                0.84437,                0.52319,                 1.2133,                0.69705,                 1.0578,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.1087,                0.68238,                 1.0183,                0.80587,                0.78143,                0.84609,                0.52619,                 1.2077,                0.69511,                 1.0519,               0.007723,               0.007723,               0.007723
                     49,                 1.1042,                0.67509,                  1.018,                0.80609,                0.78362,                0.84845,                0.52881,                 1.2058,                0.68637,                 1.0512,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.0996,                0.67139,                 1.0144,                0.80916,                0.77097,                0.84764,                0.52834,                 1.2049,                0.68862,                 1.0507,               0.007624,               0.007624,               0.007624
                     51,                 1.1003,                0.66833,                 1.0155,                0.80308,                0.78143,                0.84643,                0.52536,                 1.2093,                0.68863,                  1.054,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.0971,                0.66767,                  1.015,                0.81062,                0.77913,                0.84721,                0.52568,                 1.2135,                 0.6924,                 1.0519,               0.007525,               0.007525,               0.007525
                     53,                 1.0909,                0.66407,                 1.0137,                0.80478,                0.78075,                0.84546,                0.52555,                 1.2097,                0.69115,                 1.0518,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.0928,                0.66324,                 1.0111,                0.79743,                0.78806,                 0.8494,                0.53051,                 1.2064,                0.68831,                 1.0537,               0.007426,               0.007426,               0.007426
                     55,                 1.0853,                0.66115,                 1.0122,                0.79254,                0.79749,                0.84859,                0.52996,                 1.2012,                0.68769,                  1.045,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.0843,                0.66107,                 1.0078,                  0.812,                0.78187,                0.84801,                0.52774,                 1.2081,                 0.6823,                 1.0517,               0.007327,               0.007327,               0.007327
                     57,                 1.0811,                0.65282,                 1.0067,                0.81763,                0.78099,                0.84989,                0.52914,                 1.2002,                0.68601,                 1.0488,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.0719,                0.64857,                 1.0044,                0.80498,                0.78998,                0.85229,                0.53184,                 1.2053,                0.68037,                 1.0518,               0.007228,               0.007228,               0.007228
                     59,                 1.0664,                0.64373,                 1.0011,                0.79918,                 0.7924,                0.84834,                0.52822,                 1.2023,                0.68169,                 1.0505,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.0651,                0.64745,                 1.0042,                0.81349,                0.77745,                0.84829,                0.53082,                 1.2009,                0.67969,                 1.0529,               0.007129,               0.007129,               0.007129
                     61,                 1.0688,                0.64806,                 1.0029,                0.81133,                0.77922,                0.85041,                0.53057,                 1.1967,                0.67847,                 1.0482,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.0587,                0.63839,                 1.0003,                0.80317,                0.78836,                0.84821,                0.53235,                 1.1958,                0.68111,                 1.0513,                0.00703,                0.00703,                0.00703
                     63,                 1.0611,                0.64063,                 1.0004,                0.80358,                0.79112,                0.84754,                0.53164,                 1.1955,                0.68517,                 1.0462,              0.0069805,              0.0069805,              0.0069805
