                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                0.81603,                0.48427,                0.91943,                0.81102,                0.79633,                0.84909,                 0.5411,                 1.1747,                0.66928,                 1.0476,               0.002575,               0.002575,               0.002575
                    153,                0.81489,                0.48129,                 0.9136,                0.80916,                0.79802,                0.84902,                0.54088,                 1.1748,                0.66922,                 1.0479,              0.0025255,              0.0025255,              0.0025255
                    154,                0.81229,                0.48172,                0.91471,                0.80727,                0.79882,                0.84906,                0.54099,                 1.1748,                 0.6693,                 1.0479,               0.002476,               0.002476,               0.002476
                    155,                0.80996,                0.47837,                0.91369,                0.80715,                0.79882,                0.84901,                0.54116,                 1.1749,                0.66957,                 1.0481,              0.0024265,              0.0024265,              0.0024265
                    156,                0.81058,                0.47857,                0.91339,                0.80685,                0.79853,                0.84894,                0.54109,                 1.1749,                0.66955,                 1.0482,               0.002377,               0.002377,               0.002377
                    157,                 0.8098,                0.47687,                0.91349,                0.80787,                0.79756,                0.84898,                0.54097,                  1.175,                0.66936,                 1.0483,              0.0023275,              0.0023275,              0.0023275
                    158,                 0.7993,                0.47464,                0.91146,                0.80728,                0.79749,                0.84897,                0.54099,                  1.175,                0.66954,                 1.0485,               0.002278,               0.002278,               0.002278
                    159,                0.80158,                0.47451,                0.91111,                 0.8072,                0.79705,                0.84863,                0.54112,                 1.1751,                 0.6698,                 1.0486,              0.0022285,              0.0022285,              0.0022285
                    160,                0.80066,                0.47466,                0.91167,                0.80706,                0.79715,                0.84842,                0.54098,                 1.1753,                0.66996,                 1.0486,               0.002179,               0.002179,               0.002179
                    161,                0.79461,                0.46989,                0.90985,                0.80775,                 0.7976,                 0.8485,                 0.5406,                 1.1753,                0.67005,                 1.0487,              0.0021295,              0.0021295,              0.0021295
                    162,                0.79538,                0.46773,                 0.9086,                0.80763,                 0.7976,                0.84848,                0.54049,                 1.1754,                0.67029,                 1.0488,                0.00208,                0.00208,                0.00208
                    163,                0.79329,                0.46999,                0.90949,                 0.8108,                0.79587,                0.84835,                0.54057,                 1.1754,                0.67014,                 1.0489,              0.0020305,              0.0020305,              0.0020305
                    164,                0.79384,                0.46839,                0.90887,                0.81133,                0.79543,                0.84823,                0.54076,                 1.1755,                 0.6701,                  1.049,               0.001981,               0.001981,               0.001981
                    165,                0.79074,                0.46576,                0.90871,                0.81091,                0.79514,                0.84787,                 0.5404,                 1.1755,                0.67013,                  1.049,              0.0019315,              0.0019315,              0.0019315
                    166,                0.78358,                  0.463,                0.90642,                0.81166,                0.79333,                0.84782,                0.54039,                 1.1756,                0.67053,                  1.049,               0.001882,               0.001882,               0.001882
                    167,                 0.7831,                0.46306,                0.90813,                0.80995,                0.79396,                0.84774,                0.54055,                 1.1755,                 0.6707,                 1.0492,              0.0018325,              0.0018325,              0.0018325
                    168,                0.78308,                0.46169,                 0.9067,                0.80876,                0.79471,                0.84781,                0.54057,                 1.1757,                0.67101,                 1.0492,               0.001783,               0.001783,               0.001783
                    169,                0.77944,                0.46029,                0.90571,                0.80813,                0.79543,                 0.8477,                0.54072,                 1.1755,                0.67122,                 1.0493,              0.0017335,              0.0017335,              0.0017335
                    170,                0.77714,                0.46136,                0.90547,                   0.81,                0.79359,                0.84756,                0.54085,                 1.1756,                0.67135,                 1.0495,               0.001684,               0.001684,               0.001684
                    171,                0.77732,                0.45943,                0.90389,                0.80954,                0.79307,                0.84736,                0.54097,                 1.1755,                0.67152,                 1.0494,              0.0016345,              0.0016345,              0.0016345
                    172,                0.77594,                0.46023,                0.90455,                0.80894,                0.79381,                0.84752,                0.54088,                 1.1754,                0.67176,                 1.0494,               0.001585,               0.001585,               0.001585
                    173,                0.77484,                0.45555,                0.90537,                0.80855,                0.79426,                0.84759,                0.54117,                 1.1754,                0.67183,                 1.0495,              0.0015355,              0.0015355,              0.0015355
                    174,                0.76466,                0.45542,                0.90166,                 0.8092,                0.79528,                0.84747,                0.54086,                 1.1752,                0.67173,                 1.0495,               0.001486,               0.001486,               0.001486
                    175,                0.76756,                 0.4513,                0.90398,                0.81017,                0.79382,                 0.8474,                0.54079,                 1.1753,                0.67201,                 1.0497,              0.0014365,              0.0014365,              0.0014365
                    176,                 0.7692,                0.45552,                0.90392,                0.81003,                 0.7944,                0.84769,                0.54111,                 1.1753,                0.67213,                 1.0498,               0.001387,               0.001387,               0.001387
                    177,                0.76226,                0.45089,                0.89856,                0.80934,                0.79499,                0.84766,                0.54086,                 1.1753,                 0.6721,                 1.0498,              0.0013375,              0.0013375,              0.0013375
                    178,                 0.7623,                0.45058,                 0.9016,                0.81011,                0.79352,                0.84787,                0.54088,                 1.1751,                0.67238,                 1.0498,               0.001288,               0.001288,               0.001288
                    179,                0.75986,                0.44918,                0.89738,                0.81076,                0.79293,                0.84762,                0.54121,                  1.175,                0.67261,                 1.0499,              0.0012385,              0.0012385,              0.0012385
                    180,                0.76085,                0.44755,                0.89843,                0.81246,                0.79263,                0.84782,                0.54128,                 1.1749,                0.67254,                 1.0499,               0.001189,               0.001189,               0.001189
                    181,                0.75259,                0.44734,                0.89696,                0.81097,                0.79337,                0.84821,                0.54129,                 1.1749,                0.67276,                 1.0498,              0.0011395,              0.0011395,              0.0011395
                    182,                0.74975,                0.44371,                0.89664,                0.81123,                0.79362,                 0.8484,                0.54114,                  1.175,                  0.673,                   1.05,                0.00109,                0.00109,                0.00109
                    183,                0.75437,                 0.4444,                0.89677,                0.81127,                 0.7951,                0.84855,                 0.5412,                 1.1748,                0.67295,                 1.0501,              0.0010405,              0.0010405,              0.0010405
                    184,                0.74978,                0.44536,                0.89675,                0.81085,                0.79528,                0.84882,                0.54131,                 1.1749,                0.67302,                 1.0501,               0.000991,               0.000991,               0.000991
                    185,                0.75282,                0.44643,                0.89754,                0.81166,                 0.7946,                 0.8486,                0.54114,                 1.1749,                0.67321,                 1.0503,              0.0009415,              0.0009415,              0.0009415
                    186,                0.74518,                0.44139,                0.89687,                0.81145,                0.79455,                0.84872,                0.54144,                 1.1749,                0.67326,                 1.0504,               0.000892,               0.000892,               0.000892
                    187,                 0.7431,                0.44077,                0.89762,                0.81224,                0.79484,                0.84867,                0.54133,                 1.1748,                0.67359,                 1.0505,              0.0008425,              0.0008425,              0.0008425
                    188,                0.74283,                0.43943,                 0.8965,                0.81238,                 0.7941,                 0.8488,                0.54161,                 1.1748,                0.67379,                 1.0505,               0.000793,               0.000793,               0.000793
                    189,                0.74321,                0.44036,                 0.8956,                0.81293,                0.79416,                0.84883,                0.54153,                 1.1747,                  0.674,                 1.0506,              0.0007435,              0.0007435,              0.0007435
                    190,                 0.7377,                0.43612,                0.89438,                0.81319,                 0.7941,                 0.8484,                0.54171,                 1.1747,                0.67427,                 1.0508,               0.000694,               0.000694,               0.000694
                    191,                0.74533,                0.42099,                0.88602,                0.81287,                 0.7941,                0.84872,                0.54164,                 1.1747,                0.67432,                 1.0509,              0.0006445,              0.0006445,              0.0006445
                    192,                0.72138,                0.40945,                0.87951,                0.81184,                0.79573,                0.84866,                0.54163,                 1.1748,                0.67471,                 1.0511,               0.000595,               0.000595,               0.000595
                    193,                0.70782,                0.40114,                0.87553,                 0.8121,                0.79602,                0.84884,                0.54161,                 1.1751,                 0.6749,                 1.0513,              0.0005455,              0.0005455,              0.0005455
                    194,                0.70296,                0.39991,                0.87291,                0.81074,                0.79661,                0.84872,                0.54155,                 1.1751,                0.67528,                 1.0515,               0.000496,               0.000496,               0.000496
                    195,                0.69987,                0.39859,                0.87193,                0.81043,                 0.7969,                0.84849,                0.54169,                 1.1752,                 0.6755,                 1.0516,              0.0004465,              0.0004465,              0.0004465
                    196,                0.69603,                0.39651,                0.87235,                0.81084,                0.79731,                0.84843,                0.54145,                 1.1755,                0.67581,                 1.0518,               0.000397,               0.000397,               0.000397
                    197,                0.69337,                 0.3933,                0.87141,                0.80984,                 0.7984,                0.84841,                0.54164,                 1.1757,                0.67624,                 1.0521,              0.0003475,              0.0003475,              0.0003475
                    198,                0.69213,                0.39423,                 0.8693,                0.80945,                0.79912,                0.84817,                0.54118,                 1.1757,                0.67629,                 1.0522,               0.000298,               0.000298,               0.000298
                    199,                0.68797,                0.39292,                0.87124,                0.81102,                0.79507,                0.84799,                0.54137,                 1.1756,                0.67616,                 1.0523,              0.0002485,              0.0002485,              0.0002485
                    200,                0.68685,                0.39033,                0.86735,                0.81091,                0.79617,                0.84805,                0.54122,                 1.1757,                0.67653,                 1.0525,               0.000199,               0.000199,               0.000199
